"Step","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy__MAX"
"0","0.1979000002145767","0.1979000002145767","0.1979000002145767","0.2476999968290329","0.2476999968290329","0.2476999968290329","0.23840000182390214","0.23840000182390214","0.23840000182390214","0.18720000088214875","0.18720000088214875","0.18720000088214875","0.23190000057220458","0.23190000057220458","0.23190000057220458","0.19509999975562095","0.19509999975562095","0.19509999975562095","0.2552999973297119","0.2552999973297119","0.2552999973297119","0.2844999969005585","0.2844999969005585","0.2844999969005585","0.22200000062584876","0.22200000062584876","0.22200000062584876"
"1","0.168299999833107","0.168299999833107","0.168299999833107","0.26049999669194224","0.26049999669194224","0.26049999669194224","0.30469999760389327","0.30469999760389327","0.30469999760389327","0.2012000061571598","0.2012000061571598","0.2012000061571598","0.24369999766349792","0.24369999766349792","0.24369999766349792","0.24500000178813935","0.24500000178813935","0.24500000178813935","0.21159999817609787","0.21159999817609787","0.21159999817609787","0.27649999856948854","0.27649999856948854","0.27649999856948854","0.2502000033855438","0.2502000033855438","0.2502000033855438"
"2","0.21800000891089438","0.21800000891089438","0.21800000891089438","0.2781000003218651","0.2781000003218651","0.2781000003218651","0.31839999854564666","0.31839999854564666","0.31839999854564666","0.1876999981701374","0.1876999981701374","0.1876999981701374","0.27000000029802323","0.27000000029802323","0.27000000029802323","0.2650000035762787","0.2650000035762787","0.2650000035762787","0.23130000308156012","0.23130000308156012","0.23130000308156012","0.27590000480413435","0.27590000480413435","0.27590000480413435","0.29289999678730966","0.29289999678730966","0.29289999678730966"
"3","0.20329999849200248","0.20329999849200248","0.20329999849200248","0.291600002348423","0.291600002348423","0.291600002348423","0.318599995970726","0.318599995970726","0.318599995970726","0.20209999829530717","0.20209999829530717","0.20209999829530717","0.2688999980688095","0.2688999980688095","0.2688999980688095","0.2796000026166439","0.2796000026166439","0.2796000026166439","0.19429999962449074","0.19429999962449074","0.19429999962449074","0.2698999971151352","0.2698999971151352","0.2698999971151352","0.28469999358057974","0.28469999358057974","0.28469999358057974"
"4","0.1730999991297722","0.1730999991297722","0.1730999991297722","0.28060000017285347","0.28060000017285347","0.28060000017285347","0.3244999974966049","0.3244999974966049","0.3244999974966049","0.19300000220537186","0.19300000220537186","0.19300000220537186","0.2618000008165836","0.2618000008165836","0.2618000008165836","0.2899999998509884","0.2899999998509884","0.2899999998509884","0.20329999849200248","0.20329999849200248","0.20329999849200248","0.2760000005364418","0.2760000005364418","0.2760000005364418","0.2950000032782555","0.2950000032782555","0.2950000032782555"
"5","0.1976000040769577","0.1976000040769577","0.1976000040769577","0.2855000011622906","0.2855000011622906","0.2855000011622906","0.31279999762773514","0.31279999762773514","0.31279999762773514","0.20690000280737877","0.20690000280737877","0.20690000280737877","0.3066999986767769","0.3066999986767769","0.3066999986767769","0.27490000054240227","0.27490000054240227","0.27490000054240227","0.21360000297427179","0.21360000297427179","0.21360000297427179","0.283500000834465","0.283500000834465","0.283500000834465","0.2990000046789646","0.2990000046789646","0.2990000046789646"
"6","0.19380000233650208","0.19380000233650208","0.19380000233650208","0.27760000377893446","0.27760000377893446","0.27760000377893446","0.2949000015854836","0.2949000015854836","0.2949000015854836","0.1853000022470951","0.1853000022470951","0.1853000022470951","0.2836999990046024","0.2836999990046024","0.2836999990046024","0.2913000017404556","0.2913000017404556","0.2913000017404556","0.20819999873638154","0.20819999873638154","0.20819999873638154","0.2789000034332275","0.2789000034332275","0.2789000034332275","0.3","0.3","0.3"
"7","0.20009999871253967","0.20009999871253967","0.20009999871253967","0.2827999979257584","0.2827999979257584","0.2827999979257584","0.3121000051498413","0.3121000051498413","0.3121000051498413","0.1972000055015087","0.1972000055015087","0.1972000055015087","0.2864999957382679","0.2864999957382679","0.2864999957382679","0.2891000024974346","0.2891000024974346","0.2891000024974346","0.2307000018656254","0.2307000018656254","0.2307000018656254","0.29679999500513077","0.29679999500513077","0.29679999500513077","0.29650000259280207","0.29650000259280207","0.29650000259280207"
"8","0.21639999747276306","0.21639999747276306","0.21639999747276306","0.25879999846220014","0.25879999846220014","0.25879999846220014","0.305799999833107","0.305799999833107","0.305799999833107","0.237200003862381","0.237200003862381","0.237200003862381","0.27860000282526015","0.27860000282526015","0.27860000282526015","0.28660000041127204","0.28660000041127204","0.28660000041127204","0.2410999983549118","0.2410999983549118","0.2410999983549118","0.30429999977350236","0.30429999977350236","0.30429999977350236","0.30270000398159025","0.30270000398159025","0.30270000398159025"
"9","0.20790000408887863","0.20790000408887863","0.20790000408887863","0.27160000056028366","0.27160000056028366","0.27160000056028366","0.3133000016212463","0.3133000016212463","0.3133000016212463","0.20289999693632127","0.20289999693632127","0.20289999693632127","0.2825000025331974","0.2825000025331974","0.2825000025331974","0.3013999998569489","0.3013999998569489","0.3013999998569489","0.22909999787807464","0.22909999787807464","0.22909999787807464","0.2976999953389168","0.2976999953389168","0.2976999953389168","0.2990000009536743","0.2990000009536743","0.2990000009536743"
"10","0.21040000021457672","0.21040000021457672","0.21040000021457672","0.27989999651908876","0.27989999651908876","0.27989999651908876","0.3072999969124794","0.3072999969124794","0.3072999969124794","0.20249999985098838","0.20249999985098838","0.20249999985098838","0.28010000213980674","0.28010000213980674","0.28010000213980674","0.3006000012159348","0.3006000012159348","0.3006000012159348","0.23510000109672546","0.23510000109672546","0.23510000109672546","0.30170000046491624","0.30170000046491624","0.30170000046491624","0.3011999987065792","0.3011999987065792","0.3011999987065792"
"11","0.2031000018119812","0.2031000018119812","0.2031000018119812","0.29229999482631686","0.29229999482631686","0.29229999482631686","0.2997999981045723","0.2997999981045723","0.2997999981045723","0.21559999883174896","0.21559999883174896","0.21559999883174896","0.2723000004887581","0.2723000004887581","0.2723000004887581","0.310499994456768","0.310499994456768","0.310499994456768","0.2352999985218048","0.2352999985218048","0.2352999985218048","0.3159000024199486","0.3159000024199486","0.3159000024199486","0.3019999980926514","0.3019999980926514","0.3019999980926514"
"12","0.21500000059604646","0.21500000059604646","0.21500000059604646","0.28490000069141386","0.28490000069141386","0.28490000069141386","0.2978000000119209","0.2978000000119209","0.2978000000119209","0.23140000477433204","0.23140000477433204","0.23140000477433204","0.28549999967217443","0.28549999967217443","0.28549999967217443","0.3080000013113022","0.3080000013113022","0.3080000013113022","0.24300000071525574","0.24300000071525574","0.24300000071525574","0.3057000026106834","0.3057000026106834","0.3057000026106834","0.3136999920010567","0.3136999920010567","0.3136999920010567"
"13","0.21230000108480454","0.21230000108480454","0.21230000108480454","0.30000000149011613","0.30000000149011613","0.30000000149011613","0.3071999952197075","0.3071999952197075","0.3071999952197075","0.1923999972641468","0.1923999972641468","0.1923999972641468","0.27790000215172767","0.27790000215172767","0.27790000215172767","0.3129000008106232","0.3129000008106232","0.3129000008106232","0.23809999972581863","0.23809999972581863","0.23809999972581863","0.30450000166893004","0.30450000166893004","0.30450000166893004","0.30960000231862067","0.30960000231862067","0.30960000231862067"
"14","0.21169999986886978","0.21169999986886978","0.21169999986886978","0.2833000019192696","0.2833000019192696","0.2833000019192696","0.3046999990940094","0.3046999990940094","0.3046999990940094","0.18169999942183496","0.18169999942183496","0.18169999942183496","0.2677999995648861","0.2677999995648861","0.2677999995648861","0.3186000004410744","0.3186000004410744","0.3186000004410744","0.17180000320076944","0.17180000320076944","0.17180000320076944","0.3150000020861626","0.3150000020861626","0.3150000020861626","0.31640000492334364","0.31640000492334364","0.31640000492334364"
"15","0.21660000085830688","0.21660000085830688","0.21660000085830688","0.28350000232458117","0.28350000232458117","0.28350000232458117","0.3105999991297722","0.3105999991297722","0.3105999991297722","0.18789999932050705","0.18789999932050705","0.18789999932050705","0.2740000031888485","0.2740000031888485","0.2740000031888485","0.32730000764131545","0.32730000764131545","0.32730000764131545","0.21630000025033952","0.21630000025033952","0.21630000025033952","0.30860000252723696","0.30860000252723696","0.30860000252723696","0.3124000050127506","0.3124000050127506","0.3124000050127506"
"16","0.22029999792575836","0.22029999792575836","0.22029999792575836","0.30009999722242353","0.30009999722242353","0.30009999722242353","0.30279999822378156","0.30279999822378156","0.30279999822378156","0.16450000181794167","0.16450000181794167","0.16450000181794167","0.28819999620318415","0.28819999620318415","0.28819999620318415","0.32750000059604645","0.32750000059604645","0.32750000059604645","0.2513999953866005","0.2513999953866005","0.2513999953866005","0.3105000019073486","0.3105000019073486","0.3105000019073486","0.31750000864267347","0.31750000864267347","0.31750000864267347"
"17","0.2547000050544739","0.2547000050544739","0.2547000050544739","0.29420000314712524","0.29420000314712524","0.29420000314712524","0.30959999859333037","0.30959999859333037","0.30959999859333037","0.1527000017464161","0.1527000017464161","0.1527000017464161","0.2728999964892864","0.2728999964892864","0.2728999964892864","0.31490000188350675","0.31490000188350675","0.31490000188350675","0.2127999983727932","0.2127999983727932","0.2127999983727932","0.30889999866485596","0.30889999866485596","0.30889999866485596","0.3230000056326389","0.3230000056326389","0.3230000056326389"
"18","0.22770000100135804","0.22770000100135804","0.22770000100135804","0.2874999985098839","0.2874999985098839","0.2874999985098839","0.31169999688863753","0.31169999688863753","0.31169999688863753","0.19009999856352805","0.19009999856352805","0.19009999856352805","0.2859000004827976","0.2859000004827976","0.2859000004827976","0.32290000170469285","0.32290000170469285","0.32290000170469285","0.16499999538064003","0.16499999538064003","0.16499999538064003","0.3151999980211258","0.3151999980211258","0.3151999980211258","0.31970000863075254","0.31970000863075254","0.31970000863075254"
