"Step","GAT-dataset-PubMed - test_accuracy","GAT-dataset-PubMed - test_accuracy__MIN","GAT-dataset-PubMed - test_accuracy__MAX","GAT-dataset-CiteSeer - test_accuracy","GAT-dataset-CiteSeer - test_accuracy__MIN","GAT-dataset-CiteSeer - test_accuracy__MAX","GAT-dataset-Cora - test_accuracy","GAT-dataset-Cora - test_accuracy__MIN","GAT-dataset-Cora - test_accuracy__MAX"
"0","0.4930000305175781","0.4930000305175781","0.4930000305175781","0.47099998593330383","0.47099998593330383","0.47099998593330383","0.6520000100135803","0.6520000100135803","0.6520000100135803"
"1","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.5849999785423279","0.5849999785423279","0.5849999785423279","0.6420000195503235","0.6420000195503235","0.6420000195503235"
"2","0.7080000042915344","0.7080000042915344","0.7080000042915344","0.6450000405311584","0.6450000405311584","0.6450000405311584","0.7200000286102295","0.7200000286102295","0.7200000286102295"
"3","0.6930000185966492","0.6930000185966492","0.6930000185966492","0.6789999604225159","0.6789999604225159","0.6789999604225159","0.7820000052452087","0.7820000052452087","0.7820000052452087"
"4","0.7149999737739563","0.7149999737739563","0.7149999737739563","0.6489999890327454","0.6489999890327454","0.6489999890327454","0.796000063419342","0.796000063419342","0.796000063419342"
"5","0.7360000014305115","0.7360000014305115","0.7360000014305115","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.7979999780654907","0.7979999780654907","0.7979999780654907"
"6","0.6930000185966492","0.6930000185966492","0.6930000185966492","0.656000018119812","0.656000018119812","0.656000018119812","0.8009999394416809","0.8009999394416809","0.8009999394416809"
"7","0.7070000171661377","0.7070000171661377","0.7070000171661377","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.8270000219345093","0.8270000219345093","0.8270000219345093"
"8","0.6809999942779541","0.6809999942779541","0.6809999942779541","0.674000084400177","0.674000084400177","0.674000084400177","0.8159999847412109","0.8159999847412109","0.8159999847412109"
"9","0.7160000205039978","0.7160000205039978","0.7160000205039978","0.6549999713897705","0.6549999713897705","0.6549999713897705","0.8180000185966492","0.8180000185966492","0.8180000185966492"
"10","0.7129999995231628","0.7129999995231628","0.7129999995231628","0.6830000281333923","0.6830000281333923","0.6830000281333923","0.7979999780654907","0.7979999780654907","0.7979999780654907"
"11","0.7149999737739563","0.7149999737739563","0.7149999737739563","0.6220000386238098","0.6220000386238098","0.6220000386238098","0.796000063419342","0.796000063419342","0.796000063419342"
"12","0.718999981880188","0.718999981880188","0.718999981880188","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.796000063419342","0.796000063419342","0.796000063419342"
"13","0.7089999914169312","0.7089999914169312","0.7089999914169312","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.8130000233650208","0.8130000233650208","0.8130000233650208"
"14","0.718999981880188","0.718999981880188","0.718999981880188","0.6769999861717224","0.6769999861717224","0.6769999861717224","0.8220000267028809","0.8220000267028809","0.8220000267028809"
"15","0.722000002861023","0.722000002861023","0.722000002861023","0.6520000100135803","0.6520000100135803","0.6520000100135803","0.8270000219345093","0.8270000219345093","0.8270000219345093"
