"Step","GAT_features-16_layers-2_lr-0.0001 - test_accuracy","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.001 - test_accuracy","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.01 - test_accuracy","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.0001 - test_accuracy","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.001 - test_accuracy","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.01 - test_accuracy","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.0001 - test_accuracy","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.001 - test_accuracy","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.01 - test_accuracy","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.0001 - test_accuracy","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"0","0.21899999678134918","0.21899999678134918","0.21899999678134918","0.3199999928474426","0.3199999928474426","0.3199999928474426","0.40799999237060547","0.40799999237060547","0.40799999237060547","0.5929999947547913","0.5929999947547913","0.5929999947547913","0.46799999475479126","0.46799999475479126","0.46799999475479126","0.42100000381469727","0.42100000381469727","0.42100000381469727","0.5989999771118164","0.5989999771118164","0.5989999771118164","0.5580000281333923","0.5580000281333923","0.5580000281333923","0.3089999854564667","0.3089999854564667","0.3089999854564667","0.4189999997615814","0.4189999997615814","0.4189999997615814"
"1","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.6510000228881836","0.6510000228881836","0.6510000228881836","0.6470000147819519","0.6470000147819519","0.6470000147819519","0.597000002861023","0.597000002861023","0.597000002861023","0.5559999942779541","0.5559999942779541","0.5559999942779541","0.6069999933242798","0.6069999933242798","0.6069999933242798","0.7170000076293945","0.7170000076293945","0.7170000076293945","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.7379999756813049","0.7379999756813049","0.7379999756813049","0.4830000102519989","0.4830000102519989","0.4830000102519989"
"2","0.42899999022483826","0.42899999022483826","0.42899999022483826","0.734000027179718","0.734000027179718","0.734000027179718","0.6899999976158142","0.6899999976158142","0.6899999976158142","0.7260000109672546","0.7260000109672546","0.7260000109672546","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.796000063419342","0.796000063419342","0.796000063419342","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.5199999809265137","0.5199999809265137","0.5199999809265137"
"3","0.7070000171661377","0.7070000171661377","0.7070000171661377","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.7020000219345093","0.7020000219345093","0.7020000219345093","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.7739999890327454","0.7739999890327454","0.7739999890327454","0.765999972820282","0.765999972820282","0.765999972820282","0.6129999756813049","0.6129999756813049","0.6129999756813049"
"4","0.5270000100135803","0.5270000100135803","0.5270000100135803","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.7559999823570251","0.7559999823570251","0.7559999823570251","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.765999972820282","0.765999972820282","0.765999972820282","0.7210000157356262","0.7210000157356262","0.7210000157356262","0.7649999260902405","0.7649999260902405","0.7649999260902405","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.6790000200271606","0.6790000200271606","0.6790000200271606"
"5","0.7880000472068787","0.7880000472068787","0.7880000472068787","0.7640000581741333","0.7640000581741333","0.7640000581741333","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.7609999179840088","0.7609999179840088","0.7609999179840088","0.75","0.75","0.75","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.7089999914169312","0.7089999914169312","0.7089999914169312"
"6","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7409999966621399","0.7409999966621399","0.7409999966621399","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.7440000176429749","0.7440000176429749","0.7440000176429749","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.75","0.75","0.75","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.718999981880188","0.718999981880188","0.718999981880188"
"7","0.5899999737739563","0.5899999737739563","0.5899999737739563","0.7759999632835388","0.7759999632835388","0.7759999632835388","0.7239999771118164","0.7239999771118164","0.7239999771118164","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.781000018119812","0.781000018119812","0.781000018119812","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.75","0.75","0.75"
"8","0.7360000014305115","0.7360000014305115","0.7360000014305115","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.7229999899864197","0.7229999899864197","0.7229999899864197","0.734000027179718","0.734000027179718","0.734000027179718","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.7600000500679016","0.7600000500679016","0.7600000500679016","0.7310000061988831","0.7310000061988831","0.7310000061988831","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7450000047683716","0.7450000047683716","0.7450000047683716"
"9","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.8109999895095825","0.8109999895095825","0.8109999895095825","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7360000014305115","0.7360000014305115","0.7360000014305115"
