"Step","GAT_features-16_layers-2_lr-0.0001 - test_accuracy","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.001 - test_accuracy","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.01 - test_accuracy","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.0001 - test_accuracy","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.001 - test_accuracy","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.01 - test_accuracy","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.0001 - test_accuracy","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.001 - test_accuracy","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.01 - test_accuracy","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.0001 - test_accuracy","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"0","0.48500001430511475","0.48500001430511475","0.48500001430511475","0.527999997138977","0.527999997138977","0.527999997138977","0.5740000009536743","0.5740000009536743","0.5740000009536743","0.6019999980926514","0.6019999980926514","0.6019999980926514","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.5059999823570251","0.5059999823570251","0.5059999823570251","0.4620000123977661","0.4620000123977661","0.4620000123977661","0.5820000171661377","0.5820000171661377","0.5820000171661377","0.4569999575614929","0.4569999575614929","0.4569999575614929"
"1","0.5759999752044678","0.5759999752044678","0.5759999752044678","0.6909999847412109","0.6909999847412109","0.6909999847412109","0.7049999833106995","0.7049999833106995","0.7049999833106995","0.7039999961853027","0.7039999961853027","0.7039999961853027","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.7369999885559082","0.7369999885559082","0.7369999885559082","0.5770000219345093","0.5770000219345093","0.5770000219345093","0.7329999804496765","0.7329999804496765","0.7329999804496765","0.6290000081062317","0.6290000081062317","0.6290000081062317"
"2","0.7450000047683716","0.7450000047683716","0.7450000047683716","0.718999981880188","0.718999981880188","0.718999981880188","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.7759999632835388","0.7759999632835388","0.7759999632835388","0.7620000243186951","0.7620000243186951","0.7620000243186951","0.7440000176429749","0.7440000176429749","0.7440000176429749","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.7350000143051147","0.7350000143051147","0.7350000143051147","0.734000027179718","0.734000027179718","0.734000027179718","0.7039999961853027","0.7039999961853027","0.7039999961853027"
"3","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.7419999837875366","0.7419999837875366","0.7419999837875366","0.7329999804496765","0.7329999804496765","0.7329999804496765","0.6890000104904175","0.6890000104904175","0.6890000104904175","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.6930000185966492","0.6930000185966492","0.6930000185966492","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.7329999804496765","0.7329999804496765","0.7329999804496765"
"4","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7870000004768372","0.7870000004768372","0.7870000004768372","0.7269999980926514","0.7269999980926514","0.7269999980926514","0.7730000019073486","0.7730000019073486","0.7730000019073486","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.7310000061988831","0.7310000061988831","0.7310000061988831"
"5","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.777999997138977","0.777999997138977","0.777999997138977","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7600000500679016","0.7600000500679016","0.7600000500679016","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.7880000472068787","0.7880000472068787","0.7880000472068787","0.7459999918937683","0.7459999918937683","0.7459999918937683"
"6","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7519999742507935","0.7519999742507935","0.7519999742507935","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.7379999756813049","0.7379999756813049","0.7379999756813049"
"7","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.796000063419342","0.796000063419342","0.796000063419342","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.753000020980835","0.753000020980835","0.753000020980835","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7679999470710754","0.7679999470710754","0.7679999470710754","0.7670000195503235","0.7670000195503235","0.7670000195503235","0.7600000500679016","0.7600000500679016","0.7600000500679016"
"8","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.7670000195503235","0.7670000195503235","0.7670000195503235","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.7730000019073486","0.7730000019073486","0.7730000019073486","0.8220000267028809","0.8220000267028809","0.8220000267028809","0.7480000257492065","0.7480000257492065","0.7480000257492065","0.7369999885559082","0.7369999885559082","0.7369999885559082","0.7480000257492065","0.7480000257492065","0.7480000257492065"
"9","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7730000019073486","0.7730000019073486","0.7730000019073486","0.8050000071525574","0.8050000071525574","0.8050000071525574","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.777999997138977","0.777999997138977","0.777999997138977","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.7459999918937683","0.7459999918937683","0.7459999918937683"
