"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"0","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.07400000095367432","0.07400000095367432","0.07400000095367432","0.12999999523162842","0.12999999523162842","0.12999999523162842","0.10300000756978989","0.10300000756978989","0.10300000756978989","0.09099999815225601","0.09099999815225601","0.09099999815225601","0.31700000166893005","0.31700000166893005","0.31700000166893005","0.11599999666213989","0.11599999666213989","0.11599999666213989","0.16500000655651093","0.16500000655651093","0.16500000655651093","0.16899999976158142","0.16899999976158142","0.16899999976158142","0.14499999582767487","0.14499999582767487","0.14499999582767487"
"1","0.39400002360343933","0.39400002360343933","0.39400002360343933","0.07500000298023224","0.07500000298023224","0.07500000298023224","0.13199999928474426","0.13199999928474426","0.13199999928474426","0.10300000756978989","0.10300000756978989","0.10300000756978989","0.09099999815225601","0.09099999815225601","0.09099999815225601","0.32199999690055847","0.32199999690055847","0.32199999690055847","0.13099999725818634","0.13099999725818634","0.13099999725818634","0.17900000512599945","0.17900000512599945","0.17900000512599945","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.16500000655651093","0.16500000655651093","0.16500000655651093"
"2","0.4180000424385071","0.4180000424385071","0.4180000424385071","0.1289999932050705","0.1289999932050705","0.1289999932050705","0.14300000667572021","0.14300000667572021","0.14300000667572021","0.10400000959634781","0.10400000959634781","0.10400000959634781","0.09099999815225601","0.09099999815225601","0.09099999815225601","0.3490000069141388","0.3490000069141388","0.3490000069141388","0.1379999965429306","0.1379999965429306","0.1379999965429306","0.21899999678134918","0.21899999678134918","0.21899999678134918","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.18000000715255737","0.18000000715255737","0.18000000715255737"
"3","0.41100001335144043","0.41100001335144043","0.41100001335144043","0.09799999743700027","0.09799999743700027","0.09799999743700027","0.1980000138282776","0.1980000138282776","0.1980000138282776","0.10700000077486038","0.10700000077486038","0.10700000077486038","0.11100000143051147","0.11100000143051147","0.11100000143051147","0.3330000042915344","0.3330000042915344","0.3330000042915344","0.13600000739097595","0.13600000739097595","0.13600000739097595","0.1980000138282776","0.1980000138282776","0.1980000138282776","0.1770000010728836","0.1770000010728836","0.1770000010728836","0.1809999942779541","0.1809999942779541","0.1809999942779541"
"4","0.41200003027915955","0.41200003027915955","0.41200003027915955","0.1459999978542328","0.1459999978542328","0.1459999978542328","0.24899999797344208","0.24899999797344208","0.24899999797344208","0.12300000339746475","0.12300000339746475","0.12300000339746475","0.11400000005960464","0.11400000005960464","0.11400000005960464","0.32199999690055847","0.32199999690055847","0.32199999690055847","0.13099999725818634","0.13099999725818634","0.13099999725818634","0.22300000488758087","0.22300000488758087","0.22300000488758087","0.1770000010728836","0.1770000010728836","0.1770000010728836","0.1809999942779541","0.1809999942779541","0.1809999942779541"
"5","0.4090000092983246","0.4090000092983246","0.4090000092983246","0.12800000607967377","0.12800000607967377","0.12800000607967377","0.26600000262260437","0.26600000262260437","0.26600000262260437","0.14100000262260437","0.14100000262260437","0.14100000262260437","0.16500000655651093","0.16500000655651093","0.16500000655651093","0.3370000123977661","0.3370000123977661","0.3370000123977661","0.13899999856948853","0.13899999856948853","0.13899999856948853","0.23899999260902405","0.23899999260902405","0.23899999260902405","0.17499999701976776","0.17499999701976776","0.17499999701976776","0.1850000023841858","0.1850000023841858","0.1850000023841858"
"6","0.43000003695487976","0.43000003695487976","0.43000003695487976","0.17100000381469727","0.17100000381469727","0.17100000381469727","0.3140000104904175","0.3140000104904175","0.3140000104904175","0.17299999296665192","0.17299999296665192","0.17299999296665192","0.14800000190734863","0.14800000190734863","0.14800000190734863","0.32199999690055847","0.32199999690055847","0.32199999690055847","0.14000000059604645","0.14000000059604645","0.14000000059604645","0.24300000071525574","0.24300000071525574","0.24300000071525574","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.1889999955892563","0.1889999955892563","0.1889999955892563"
"7","0.367000013589859","0.367000013589859","0.367000013589859","0.1889999955892563","0.1889999955892563","0.1889999955892563","0.3269999921321869","0.3269999921321869","0.3269999921321869","0.19199998676776886","0.19199998676776886","0.19199998676776886","0.1770000010728836","0.1770000010728836","0.1770000010728836","0.3449999988079071","0.3449999988079071","0.3449999988079071","0.13899999856948853","0.13899999856948853","0.13899999856948853","0.2849999964237213","0.2849999964237213","0.2849999964237213","0.17499999701976776","0.17499999701976776","0.17499999701976776","0.19299998879432678","0.19299998879432678","0.19299998879432678"
"8","0.43700000643730164","0.43700000643730164","0.43700000643730164","0.2280000001192093","0.2280000001192093","0.2280000001192093","0.37599998712539673","0.37599998712539673","0.37599998712539673","0.23000000417232513","0.23000000417232513","0.23000000417232513","0.16899999976158142","0.16899999976158142","0.16899999976158142","0.32499998807907104","0.32499998807907104","0.32499998807907104","0.1509999930858612","0.1509999930858612","0.1509999930858612","0.27399998903274536","0.27399998903274536","0.27399998903274536","0.17800000309944153","0.17800000309944153","0.17800000309944153","0.19199998676776886","0.19199998676776886","0.19199998676776886"
"9","0.3709999918937683","0.3709999918937683","0.3709999918937683","0.24799999594688416","0.24799999594688416","0.24799999594688416","0.3569999933242798","0.3569999933242798","0.3569999933242798","0.26899999380111694","0.26899999380111694","0.26899999380111694","0.17900000512599945","0.17900000512599945","0.17900000512599945","0.3709999918937683","0.3709999918937683","0.3709999918937683","0.14300000667572021","0.14300000667572021","0.14300000667572021","0.3269999921321869","0.3269999921321869","0.3269999921321869","0.1770000010728836","0.1770000010728836","0.1770000010728836","0.23600000143051147","0.23600000143051147","0.23600000143051147"
